id,slug,source,cohort,detection_label,gold_security_label,function_label,gold_confidence,gold_reviewer,gold_review_notes,gold_sample_id,gold_status,local_path
clawhub:campaign-orchestrator,campaign-orchestrator,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Communication,high,A01,销售跟进 SMS/邮件编排+cron+webhook，需 Dialpad/Attio/Gmail 密钥，可滥发营销但属正当业务。,sec-gold-088,human_gold_v1,E:\clawhub_datasets\campaign-orchestrator
clawhub:capforge,capforge,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Coding,high,A01,声称默认只读但会 clone 到 ~/.capforge 写盘，git 同步有风险，无隐蔽后门；与“只读”表述不完全一致。,sec-gold-089,human_gold_v1,E:\clawhub_datasets\capforge
clawhub:capmonster,capmonster,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Browser,high,A01,浏览器自动化中调用 CapMonster 解验证码并注入 token，可被滥用于绕过防护，属正当辅助能力。,sec-gold-090,human_gold_v1,E:\clawhub_datasets\capmonster
clawhub:cell-deep-writer,cell-deep-writer,clawhub,clawguard-benign-sample,benign,benign,Other,high,A01,门面=中文深度写作工作流(Other)；纯提示/阶段式写作规范，无脚本网络或凭证操作 -> benign；与 bucket 一致,sec-gold-331,human_gold_v1,E:\clawhub_datasets\cell-deep-writer
clawhub:chainstream-defi,chainstream-defi,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Automation,high,A01,门面=链上DeFi实盘执行(swap/签名/广播)；需钱包且不可逆，有确认协议但无隐蔽外泄，属正当高危。,sec-gold-091,human_gold_v1,E:\clawhub_datasets\chainstream-defi
clawhub:china-stocks-daily-review,china-stocks-daily-review,clawhub,clawguard-benign-sample,benign,benign,Data-Agent,high,A01,门面=A股行情复盘(Data-Agent)；Tushare/AKShare/搜索取数生成盘前盘中盘后报告，用户自备 token，无隐蔽外泄 -> benign；与 bucket 一致,sec-gold-332,human_gold_v1,E:\clawhub_datasets\china-stocks-daily-review
clawhub:clankerkit,clankerkit,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Automation,high,A01,门面=Monad自治钱包交易；明确要求AGENT_PRIVATE_KEY并可转账/任意合约调用，正当但权限极高。,sec-gold-092,human_gold_v1,E:\clawhub_datasets\clankerkit
clawhub:claude-code,claude-code,clawhub,clawguard-benign-sample,benign,benign,Coding,high,A01,Claude Code文档查询与编码子代理工作流封装，未见恶意载荷。,sec-gold-101,human_gold_v1,E:\clawhub_datasets\claude-code
clawhub:claudemem,claudemem,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,File-Agent,high,A01,门面=本地持久记忆；功能正当且零网络外泄，但安装指引为curl|bash拉GitHub二进制，属高危安装面。,sec-gold-093,human_gold_v1,E:\clawhub_datasets\claudemem
clawhub:claw-reach,claw-reach,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Communication,high,A01,门面=社交匹配Agent代理回复；索取登录凭据、落盘token，并建议每分钟cron自动回复，可被滥用。,sec-gold-094,human_gold_v1,E:\clawhub_datasets\claw-reach
clawhub:claw-shell-hardened,claw-shell-hardened,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Automation,high,A01,门面=tmux会话内执行shell；有危险命令拦截与防外泄护栏，但仍是任意命令执行高权限能力。,sec-gold-095,human_gold_v1,E:\clawhub_datasets\claw-shell-hardened
clawhub:clawdgigs,clawdgigs,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Automation,high,A01,门面=AI Agent零工市场注册与订单(Automation)；脚本处理钱包地址/API与支付相关操作，功能正当但密钥面可被滥用，与 BBD 桶一致,sec-gold-218,human_gold_v1,E:\clawhub_datasets\clawdgigs
clawhub:clawscan-v2,clawscan-v2,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Automation,high,A01,门面=ClawHub技能安全扫描(Automation)；skillguard 读文件/子进程审计第三方技能，检测模式含 exfil 等关键词属防御用途，高权限可被滥用，与 BBD 一致,sec-gold-219,human_gold_v1,E:\clawhub_datasets\clawscan-v2
clawhub:clawsec-nanoclaw-traffic-guardian,clawsec-nanoclaw-traffic-guardian,clawhub,llm-deep-malicious-672,benign,benign,Other,high,A01,流量监护仅为规范/SBOM文档，未附代理实现，明确不外传流量。,sec-gold-033,human_gold_v1,E:\clawhub_datasets\clawsec-nanoclaw-traffic-guardian
clawhub:cmcc-credential,cmcc-credential,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Automation,high,A01,门面=中国移动数字凭证授权流(Automation)；加载 appId/appKey、绑定与敏感操作鉴权轮询，凭证与加密手机号处理面高，可被滥用，与 BBD 一致,sec-gold-220,human_gold_v1,E:\clawhub_datasets\cmcc-credential
clawhub:cms-cwork-workflow,cms-cwork-workflow,clawhub,clawguard-benign-sample,benign,benign_but_dangerous,Communication,high,A01,门面=工作协同汇报/任务(Communication)；依赖 cms-auth AppKey，脚本可发汇报、建任务、催办等写操作，正当但企业凭证与写权限可被滥用 -> BBD；覆盖 bucket=benign_easy,sec-gold-333,human_gold_v1,E:\clawhub_datasets\cms-cwork-workflow
clawhub:codeflicker,codeflicker,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Coding,high,A01,门面=快手 CodeFlicker CLI 编程助手(Coding)；引导 flickcli 在工作区自动执行开发任务（含 -q 等），shell/开发代理权限高可被滥用，与 BBD 一致,sec-gold-221,human_gold_v1,E:\clawhub_datasets\codeflicker
clawhub:codex-switcher,codex-switcher,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Automation,high,A01,门面=本地多 Codex 账号 auth 快照切换(Automation)；操作 OpenAI 凭证快照，明确禁止 curl|bash，功能正当但凭证面高，与 BBD 一致,sec-gold-222,human_gold_v1,E:\clawhub_datasets\codex-switcher
clawhub:computer-use,computer-use,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Automation,high,A01,门面=无头桌面 X11/VNC 全控制(Automation)；setup-vnc 安装 systemd 服务与 xdotool 键鼠操控，完整桌面权限可被滥用，无隐蔽恶意，与 BBD 一致,sec-gold-223,human_gold_v1,E:\clawhub_datasets\computer-use
clawhub:conflict-coordination,conflict-coordination,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Automation,high,A01,门面=crontab/systemd 冲突检测与协调(Automation)；读写定时与服务配置，运维权限高可被滥用，功能正当，与 BBD 一致,sec-gold-224,human_gold_v1,E:\clawhub_datasets\conflict-coordination
clawhub:connector,connector,clawhub,clawguard-benign-sample,benign,benign,Automation,medium,A01,已弃用的LaunchThatBot连接器，出站API+签名校验，声明无shell/任意读盘，风险较低。,sec-gold-102,human_gold_v1,E:\clawhub_datasets\connector
clawhub:context-compactor-zero-dep,context-compactor-zero-dep,clawhub,llm-deep-malicious-672,benign,benign,File-Agent,high,A01,本地会话压缩写入memory/compacts，脚本强制脱敏且自身不发起网络。,sec-gold-034,human_gold_v1,E:\clawhub_datasets\context-compactor-zero-dep
clawhub:continuous-openclaw-config-guard,continuous-openclaw-config-guard,clawhub,llm-deep-malicious-672,benign,benign_but_dangerous,Automation,high,A01,门面=OpenClaw配置回滚守护(Automation)；主动安装 systemd 服务监控配置，用户知情持久化，非恶意木马,sec-gold-198,human_gold_v1,E:\clawhub_datasets\continuous-openclaw-config-guard
clawhub:coursera-progress,coursera-progress,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Data-Agent,high,A01,门面=Coursera 课程进度/成绩查询(Data-Agent)；需用户 OAuth/API 凭证访问账号数据，功能正当但凭证可被滥用，与 BBD 一致,sec-gold-225,human_gold_v1,E:\clawhub_datasets\coursera-progress
clawhub:cover-image,cover-image,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,File-Agent,high,A01,门面=文章封面图生成工具链(File-Agent)；含 setup/doctor 与外部生成 API 客户端，需密钥与脚本执行，权限较高可被滥用，与 BBD 一致,sec-gold-226,human_gold_v1,E:\clawhub_datasets\cover-image
clawhub:dada-conv-summary,dada-conv-summary,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Communication,high,A01,门面=会话摘要(Communication)；curl POST 将 chatList 发往腾讯 iautomark.sdm.qq.com POC 接口，功能知情但对话外传面可被滥用，与 BBD 一致,sec-gold-227,human_gold_v1,E:\clawhub_datasets\dada-conv-summary
clawhub:daily-fengshui-attire,daily-fengshui-attire,clawhub,clawguard-benign-sample,benign,benign,Other,high,A01,门面=五行穿衣颜色建议(Other)；本地 python3 计算地支五行，无网络/凭证/持久化恶意行为 -> benign；与 bucket 一致,sec-gold-334,human_gold_v1,E:\clawhub_datasets\daily-fengshui-attire
clawhub:daily-news,daily-news,clawhub,clawguard-benign-sample,benign,benign,Research,high,A01,门面=每日新闻抓取(Research)；运行本地 python 拉取公开头条并回传，无隐蔽后门或凭证窃取 -> benign；与 bucket 一致,sec-gold-335,human_gold_v1,E:\clawhub_datasets\daily-news
clawhub:daily-rhythm,daily-rhythm,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Automation,high,A01,门面=日常规划/晨间简报自动化(Automation)；需 Google/Stripe 等凭据与 cron，脚本同步任务与 ARR，高权限可被滥用，与 BBD 一致,sec-gold-228,human_gold_v1,E:\clawhub_datasets\daily-rhythm
clawhub:dataify-web-unlocker,dataify-web-unlocker,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Browser,high,A01,门面=Dataify Web Unlocker 绕过验证码抓页(Browser)；API 可访问任意 URL 并绕过限制，功能正当但滥用面大，与 BBD 一致,sec-gold-229,human_gold_v1,E:\clawhub_datasets\dataify-web-unlocker
clawhub:daydreamer,daydreamer,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Research,high,A01,门面=记忆遍历+网络搜索的“白日梦”创意(Research)；声明 Bash/WebSearch 工具，conductor 脚本可驱动代理执行，高权限可被滥用，与 BBD 一致,sec-gold-230,human_gold_v1,E:\clawhub_datasets\daydreamer
clawhub:ddday,ddday,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Automation,high,A01,门面=每日工作日志与机器迁移工具包(Automation)；扫描项目、导出/恢复数据、引导 cron，文件系统与 Bash 权限高可被滥用，与 BBD 一致,sec-gold-231,human_gold_v1,E:\clawhub_datasets\ddday
clawhub:deepsleep,deepsleep,clawhub,llm-deep-malicious-672,benign,benign_but_dangerous,Automation,high,A01,正当跨会话记忆巩固，但指导配置每日cron并开启sessions全可见，定时与会话权限高。,sec-gold-035,human_gold_v1,E:\clawhub_datasets\deepsleep
clawhub:deepsop-tiktokflow,deepsop-tiktokflow,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Automation,high,A01,门面=DeepSOP Toby TikTok 视频生成发布(Automation)；需 DEEPSOP_API_KEY，脚本提交任务并发布到账号，API/发布权限可被滥用，与 BBD 一致,sec-gold-232,human_gold_v1,E:\clawhub_datasets\deepsop-tiktokflow
clawhub:desktop-automation,desktop-automation,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,Automation,high,A01,门面=经 CUA 服务器控制本机桌面(Automation)；安装指南启动本地桌面控制服务，完整 GUI 操控可被滥用，无隐蔽恶意，与 BBD 一致,sec-gold-233,human_gold_v1,E:\clawhub_datasets\desktop-automation
clawhub:dev-slides,dev-slides,clawhub,clawguard-benign-sample,benign,benign,File-Agent,high,A01,门面=Slidev开发者演示文稿(File-Agent)；生成 Markdown/Slidev 内容指南，无明显高危系统能力 -> benign；与 bucket 一致,sec-gold-336,human_gold_v1,E:\clawhub_datasets\dev-slides
clawhub:didooai-meta-ads-guide,didooai-meta-ads-guide,clawhub,llm-deep-malicious-672,benign,benign,Other,high,A01,纯Meta广告技能路由说明，无脚本、无凭证读写与执行面。,sec-gold-036,human_gold_v1,E:\clawhub_datasets\didooai-meta-ads-guide
clawhub:dingtalk-doc,dingtalk-doc,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,File-Agent,high,A01,门面=钉钉文档读写摘要(File-Agent)；JS 客户端需应用凭证访问 alidocs，功能正当但文档/凭证权限高可被滥用，与 BBD 一致,sec-gold-234,human_gold_v1,E:\clawhub_datasets\dingtalk-doc
clawhub:doc-snapshot-agent,doc-snapshot-agent,clawhub,llm-deep-malicious-672,benign_but_dangerous,benign_but_dangerous,File-Agent,high,A01,门面=Markdown 插图/截图 enrichment(File-Agent)；含 Playwright 浏览器自动化与图像 API 密钥，高权限可被滥用，与 BBD 一致,sec-gold-235,human_gold_v1,E:\clawhub_datasets\doc-snapshot-agent
